teacher_name,teacher_category,student_type,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,baseline_ece,baseline_ts_ece,compression_ratio,training_time,seed
StandardMLP,MLP,StudentMLP,1.0,0.1,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8604770191421844,0.9136464656476309,0.008375461790540991,0.009131639905267054,1.0111678838729858,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,14.182553052902222,123
StandardMLP,MLP,StudentMLP,1.0,0.2,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8602722898966118,0.9130627377806818,0.005527998642702895,0.006108386050621844,0.9770450592041016,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,15.407294511795044,123
StandardMLP,MLP,StudentMLP,1.0,0.3,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8608864776333299,0.9121793324361139,0.01097546795901525,0.0081080403764284,0.93638676404953,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,11.871161222457886,123
StandardMLP,MLP,StudentMLP,1.0,0.4,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8606817483877572,0.9128139130931285,0.02158693087291346,0.016285849380687188,0.9222081899642944,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,15.69452166557312,123
StandardMLP,MLP,StudentMLP,1.0,0.5,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8615006653700481,0.9120655971637093,0.02460436696927029,0.013218818796415913,0.874873697757721,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,14.68509316444397,123
StandardMLP,MLP,StudentMLP,1.0,0.6,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8596581021598936,0.9113782067331971,0.02939965420690782,0.0216149685013769,0.8794073462486267,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,20.78071880340576,123
StandardMLP,MLP,StudentMLP,1.0,0.7,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8587368205548163,0.9081447808575709,0.03017522874303991,0.020216616183864094,0.8900699019432068,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,12.697375535964966,123
StandardMLP,MLP,StudentMLP,1.0,0.8,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8579179035725253,0.9054316247831922,0.03188323044068543,0.022810379069724458,0.8615764379501343,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,28.75379967689514,123
StandardMLP,MLP,StudentMLP,1.0,0.9,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8559729757395844,0.8999484162190642,0.03500585151766301,0.01724030002257588,0.8383933901786804,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,9.615575075149536,123
StandardMLP,MLP,StudentMLP,1.0,1.0,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8547446002661481,0.8957242099226196,0.03925842069274743,0.021965749096554375,0.8615949153900146,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,11.93282151222229,123
StandardMLP,MLP,StudentMLP,1.292,0.1,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8609888422561163,0.9137947647009459,0.005765327629876829,0.005123980799040664,0.9686979651451111,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,11.787505149841309,123
StandardMLP,MLP,StudentMLP,1.292,0.2,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8638550516941345,0.9139143997028147,0.01166854289650447,0.007162156376493095,0.9590209722518921,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,15.596041917800903,123
StandardMLP,MLP,StudentMLP,1.292,0.3,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8622172177295526,0.9128472969281461,0.01825737278980565,0.008797466176805019,0.9115579128265381,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,19.322153329849243,123
StandardMLP,MLP,StudentMLP,1.292,0.4,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8621148531067663,0.9111853575276347,0.02197143827112271,0.017326007685714153,0.9071937799453735,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,21.92658543586731,123
StandardMLP,MLP,StudentMLP,1.292,0.5,0.8537209540382844,0.8953725572673787,0.04084140893877658,269262,0.8598628314054663,0.9111040563776995,0.026052893963397886,0.01672330793011993,0.8877372741699219,36078,0.012574664898516453,0.01131321419072756,7.463329452852154,16.432506322860718,123
