teacher_name,teacher_category,student_type,mismatch_level,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,compression_ratio,training_time
StandardMLP,MLP,MLP,0,1.0,0.1,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8591462790459617,0.9124343734239808,0.011407348846625632,0.0076404545293721066,1.0379897356033325,35950,7.482781641168289,8.61008906364441
StandardMLP,MLP,MLP,0,1.0,0.2,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8605793837649708,0.91293366321167,0.012358889929444589,0.010953779393067827,1.0146647691726685,35950,7.482781641168289,10.69538426399231
StandardMLP,MLP,MLP,0,1.0,0.3,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8587368205548163,0.9126673120107325,0.008595812325781023,0.008364937555058998,0.9615016579627991,35950,7.482781641168289,13.107339859008789
StandardMLP,MLP,MLP,0,1.0,0.4,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8612959361244754,0.9128061427177366,0.011137309680668157,0.010982938671395163,0.9528188705444336,35950,7.482781641168289,13.282729148864746
StandardMLP,MLP,MLP,0,1.0,0.5,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8636503224485618,0.914757111303663,0.01317886825910622,0.012017651955755451,0.937736451625824,35950,7.482781641168289,10.605972051620483
StandardMLP,MLP,MLP,0,1.0,0.6,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8618077592384072,0.9117605667608207,0.01733025715360623,0.013000350780705005,0.9314280152320862,35950,7.482781641168289,17.376545667648315
StandardMLP,MLP,MLP,0,1.0,0.7,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8613983007472618,0.9122790234744769,0.022498549893307754,0.017121339528572116,0.9001760482788086,35950,7.482781641168289,15.61663031578064
StandardMLP,MLP,MLP,0,1.0,0.8,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8631384993346299,0.9141602025777156,0.024158908422033047,0.01106518383450293,0.8669077754020691,35950,7.482781641168289,10.74234414100647
StandardMLP,MLP,MLP,0,1.0,0.9,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8610912068789026,0.9124353519156969,0.029265593485299436,0.018141538244892817,0.8644683361053467,35950,7.482781641168289,11.29476284980774
StandardMLP,MLP,MLP,0,1.0,1.0,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8606817483877572,0.9119221042314702,0.034008362513443184,0.026822177157658663,0.8579705953598022,35950,7.482781641168289,19.976588487625122
