teacher_name,teacher_category,student_type,mismatch_level,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,compression_ratio,training_time,seed
StandardMLP,MLP,MLP,0,1.0,0.1,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8577131743269526,0.9118970663552071,0.008477717197951769,0.0065809888274243325,0.9645837545394897,36078,7.463329452852154,18.031519174575806,123
StandardMLP,MLP,MLP,0,1.0,0.2,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8597604667826799,0.9133119365974207,0.01236943963353399,0.008607818952238494,0.9427254796028137,36078,7.463329452852154,18.07076859474182,123
StandardMLP,MLP,MLP,0,1.0,0.3,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8639574163169209,0.9125349278373871,0.023675503447378822,0.012136329085546934,0.8905900120735168,36078,7.463329452852154,15.406097650527954,123
StandardMLP,MLP,MLP,0,1.0,0.4,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8608864776333299,0.912248978022961,0.027160529141441216,0.01452191431319009,0.8799048066139221,36078,7.463329452852154,14.980466842651367,123
StandardMLP,MLP,MLP,0,1.0,0.5,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8594533729143208,0.9095837392634996,0.04365741524664989,0.01831584455812827,0.8081545233726501,36078,7.463329452852154,12.249320268630981,123
StandardMLP,MLP,MLP,0,1.0,0.6,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8570989865902344,0.906525463405043,0.046335599774261965,0.02375502087315416,0.8329251408576965,36078,7.463329452852154,20.233920574188232,123
StandardMLP,MLP,MLP,0,1.0,0.7,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8552564233800799,0.9032482356355401,0.06142663933075137,0.032822775476505285,0.7754803895950317,36078,7.463329452852154,13.147196292877197,123
StandardMLP,MLP,MLP,0,1.0,0.8,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8475790766711024,0.8975526080315293,0.06657079558894656,0.04378634553499141,0.7918501496315002,36078,7.463329452852154,10.551122903823853,123
StandardMLP,MLP,MLP,0,1.0,0.9,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8426655747773569,0.8946505167184519,0.07618105654365538,0.05330749886023289,0.7611026167869568,36078,7.463329452852154,15.18001675605774,123
StandardMLP,MLP,MLP,0,1.0,1.0,0.8275156106049749,0.8812809239356225,0.0660273451173131,269262,0.8326338417442932,0.8827021831531585,0.06620549744557354,0.05198602105788023,0.7639092206954956,36078,7.463329452852154,16.590938329696655,123
