teacher_name,teacher_category,student_type,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,baseline_ece,baseline_ts_ece,compression_ratio,training_time
StandardMLP,MLP,MLP,1.0,0.1,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8616030299928344,0.914294083267803,0.0099107678760365,0.0097019526160233,0.9861751198768616,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,16.202468156814575
StandardMLP,MLP,MLP,1.0,0.2,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8598628314054663,0.914450584384032,0.0149000494732609,0.0109020286231198,0.9431132674217224,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,12.226566791534424
StandardMLP,MLP,MLP,1.0,0.3,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8602722898966118,0.9138779077176404,0.0109977040019228,0.0087987460064075,0.9267578125,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,13.560596466064451
StandardMLP,MLP,MLP,1.0,0.4,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8616030299928344,0.9134033104561972,0.0173205339682237,0.0167870509811641,0.959266483783722,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,18.38962149620056
StandardMLP,MLP,MLP,1.0,0.5,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8608864776333299,0.9134568397088976,0.0215829252080921,0.0188246810623256,0.923215389251709,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,16.55016541481018
StandardMLP,MLP,MLP,1.0,0.6,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8596581021598936,0.9119027358513264,0.0174472860005052,0.0131682308251738,0.9135302305221558,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,20.990820169448853
StandardMLP,MLP,MLP,1.0,0.7,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8594533729143208,0.9108214737259434,0.026277680764918,0.0192954940283807,0.8896711468696594,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,18.04936194419861
StandardMLP,MLP,MLP,1.0,0.8,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8596581021598936,0.9124906654768208,0.0249831943549364,0.0164257261266403,0.8649317622184753,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,11.291632175445557
StandardMLP,MLP,MLP,1.0,0.9,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8593510082915344,0.9123606699744292,0.0308029843233651,0.0207157224395377,0.8469634652137756,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,18.97676110267639
StandardMLP,MLP,MLP,1.0,1.0,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8622172177295526,0.9115336142410376,0.0394578636339345,0.0181881482034619,0.8100816011428833,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,13.563675880432127
StandardMLP,MLP,MLP,1.292,0.1,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8601699252738254,0.9121781237110528,0.0087393402505301,0.0090726067819527,0.984613597393036,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.056045770645142
StandardMLP,MLP,MLP,1.292,0.2,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8599651960282526,0.9120651942553558,0.0085787500342231,0.0090684642591408,0.9768491387367249,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,14.404252052307127
StandardMLP,MLP,MLP,1.292,0.3,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8597604667826799,0.9131237496170932,0.0177765582570986,0.0172930429609981,0.947088658809662,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,12.06574535369873
StandardMLP,MLP,MLP,1.292,0.4,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8588391851776026,0.9120092763317016,0.0190585175576217,0.0133504201001692,0.8995364904403687,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.229478597640991
StandardMLP,MLP,MLP,1.292,0.5,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8603746545193981,0.91337205627962,0.0204101530664383,0.0156378325119527,0.8886688351631165,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.154385805130005
StandardMLP,MLP,MLP,1.292,0.6,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8624219469751254,0.9127950339588428,0.0261184526562587,0.0177842315146447,0.8745737671852112,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.44301700592041
StandardMLP,MLP,MLP,1.292,0.7,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8621148531067663,0.9123685266873254,0.0261664200154306,0.0159610378348982,0.8573341369628906,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,14.429298877716064
StandardMLP,MLP,MLP,1.292,0.8,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8612959361244754,0.9128169636849492,0.0300873314260319,0.0159831784047054,0.8490107655525208,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,11.142505645751951
StandardMLP,MLP,MLP,1.292,0.9,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8619101238611936,0.9122531797815064,0.0368256010904516,0.0196283189645625,0.8136165738105774,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,20.306066751480103
StandardMLP,MLP,MLP,1.292,1.0,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8620124884839799,0.9118200533013217,0.0385875196044271,0.0191432126907465,0.8152757883071899,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,17.094646453857422
StandardMLP,MLP,MLP,1.668,0.1,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8583273620636708,0.9127704565492696,0.0100942576159741,0.0077753930037738,0.9496250152587892,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,14.3428316116333
StandardMLP,MLP,MLP,1.668,0.2,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8611935715016891,0.9126337555007062,0.011418116524814,0.0101183114737525,0.9774676561355592,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,17.98720693588257
StandardMLP,MLP,MLP,1.668,0.3,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8601699252738254,0.914501005486576,0.0179664743794415,0.0164941568551086,0.9227816462516784,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,12.940983772277832
StandardMLP,MLP,MLP,1.668,0.4,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8604770191421844,0.9114870207678536,0.0172818440016161,0.0176642557312661,0.9110291004180908,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,19.794001579284668
StandardMLP,MLP,MLP,1.668,0.5,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8607841130105436,0.9132468668983044,0.0206658181227489,0.0134757226547524,0.8753882646560669,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,11.094106435775757
StandardMLP,MLP,MLP,1.668,0.6,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8619101238611936,0.912812301459714,0.0297713481589171,0.0166473362672254,0.8485589027404785,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,12.633966207504272
StandardMLP,MLP,MLP,1.668,0.7,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8603746545193981,0.9120792960477336,0.0309564361030521,0.0147986271067704,0.8486805558204651,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,13.111372709274292
StandardMLP,MLP,MLP,1.668,0.8,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8612959361244754,0.9115659044676666,0.0330921000065902,0.0192723728343425,0.8302067518234253,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,21.243094444274902
StandardMLP,MLP,MLP,1.668,0.9,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8607841130105436,0.912384930813153,0.0353537177796104,0.0174309259376087,0.820323646068573,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,14.990836143493652
StandardMLP,MLP,MLP,1.668,1.0,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8608864776333299,0.911730348634296,0.0413110315317702,0.022076515543606,0.807809591293335,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,13.15310525894165
StandardMLP,MLP,MLP,2.154,0.1,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.858941549800389,0.9120955562777208,0.0100025326095171,0.0106386342247489,0.9512835144996644,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.22113561630249
StandardMLP,MLP,MLP,2.154,0.2,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8606817483877572,0.9130395417711782,0.0139446042921199,0.013444622065073,0.9451183080673218,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,14.407737255096436
StandardMLP,MLP,MLP,2.154,0.3,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8621148531067663,0.9134558036588452,0.0226362866115662,0.0181915275661023,0.8998063206672668,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,13.001118421554564
StandardMLP,MLP,MLP,2.154,0.4,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8615006653700481,0.9118152184010778,0.0213275748711242,0.0180947355798669,0.905255138874054,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,22.325775623321533
StandardMLP,MLP,MLP,2.154,0.5,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8611935715016891,0.912513803927988,0.0237780913507722,0.0165442585844456,0.8746416568756104,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,16.500118017196655
StandardMLP,MLP,MLP,2.154,0.6,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8615006653700481,0.9123428556693638,0.0302792435008771,0.0146638690824334,0.8429188132286072,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.804839372634888
StandardMLP,MLP,MLP,2.154,0.7,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8619101238611936,0.9126568363935372,0.0316796030020571,0.0190474788429232,0.8492802977561951,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,18.417484998703003
StandardMLP,MLP,MLP,2.154,0.8,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8620124884839799,0.9123738508334276,0.0411946254848445,0.0145203108710628,0.8045175671577454,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,11.38529896736145
StandardMLP,MLP,MLP,2.154,0.9,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8616030299928344,0.9120040097439356,0.0340051182195558,0.0193627877493624,0.843292772769928,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,12.113271951675417
StandardMLP,MLP,MLP,2.154,1.0,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8630361347118436,0.9115572994963992,0.0411608885786455,0.020310525482198,0.8037073612213135,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,22.752458810806274
StandardMLP,MLP,MLP,2.783,0.1,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8601699252738254,0.913927810795158,0.0140677051997554,0.0101813560929265,0.9493255615234376,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,10.843308687210085
StandardMLP,MLP,MLP,2.783,0.2,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8616030299928344,0.912463843292134,0.0156437932471802,0.0078993207170731,0.9155398607254028,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,14.38834309577942
StandardMLP,MLP,MLP,2.783,0.3,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.858941549800389,0.9109506921907956,0.0141124619955244,0.0155970996417534,0.927890419960022,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,20.69880199432373
StandardMLP,MLP,MLP,2.783,0.4,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8585320913092436,0.9125945007153924,0.025528914942744,0.0199363364646727,0.8820624947547913,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.975131273269652
StandardMLP,MLP,MLP,2.783,0.5,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8627290408434845,0.9134914898273124,0.0267900697343918,0.0175030030251427,0.8774372339248657,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,17.58410668373108
StandardMLP,MLP,MLP,2.783,0.6,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8628314054662709,0.9117872450496664,0.027143623792371,0.0186880446908686,0.8612118363380432,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,21.914276123046875
StandardMLP,MLP,MLP,2.783,0.7,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8611935715016891,0.9119878070722848,0.0300418138580295,0.0174180525309757,0.8428561091423035,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,21.862143754959103
StandardMLP,MLP,MLP,2.783,0.8,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8611935715016891,0.9116257939165212,0.035504118599549,0.0194451323047711,0.8227622509002686,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,19.952980279922485
StandardMLP,MLP,MLP,2.783,0.9,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8616030299928344,0.9123262788685276,0.0380154502713359,0.0191803260118437,0.817648708820343,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,22.425376653671265
StandardMLP,MLP,MLP,2.783,1.0,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8601699252738254,0.9111995744366852,0.0363894204189338,0.0213999590619198,0.8217319846153259,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,15.865946292877195
StandardMLP,MLP,MLP,3.594,0.1,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.8613983007472618,0.913943322766774,0.0125604970179508,0.0088051160253498,0.9238563179969788,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,12.122987985610962
StandardMLP,MLP,MLP,3.594,0.2,0.8594533729143208,0.9121213136331868,0.0375649378882763,269006,0.860067560651039,0.9127945734921528,0.0180237869811114,0.017357535235075,0.9511231184005736,35950,0.0102012232828788,0.0090794893391014,7.482781641168289,18.01884722709656
