teacher_name,teacher_category,seed,distill_temperature,alpha,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp
StandardMLP,MLP,42,1.292,0.1,0.8597604667826799,0.9134945979774691,0.6758163748225272,0.6107784431137725,0.7563559322033898,0.01794683872510924,0.3073764058196268,0.09726954614834857,0.010473292914519221,0.6758163748225272,0.6107784431137725,0.9134945979774691,0.9176090359687805
RegularizedMLP,MLP,42,1.668,0.1,0.8587368205548163,0.9132125621299072,0.6886281588447654,0.6526946107784432,0.728748806112703,0.014286052433539167,0.30742267119496386,0.09766649887239073,0.014010199729750924,0.6886281588447654,0.6526946107784432,0.9132125621299071,0.9598031044006348
DeepMLP,MLP,42,1.0,0.2,0.8605793837649708,0.9131366139052423,0.6814780168381666,0.6231822070145423,0.7518059855521155,0.015351486198885532,0.30883516391401766,0.09740497900057547,0.013406160507686362,0.6814780168381666,0.6231822070145423,0.9131366139052423,0.9297106862068176
AutoInt,Attention,42,4.642,0.1,0.8640597809397073,0.9147380307152002,0.6795366795366795,0.602224123182207,0.7796234772978959,0.010764473377102433,0.302692626289209,0.09603299327917854,0.010762299693093554,0.6795366795366795,0.602224123182207,0.9147380594943684,1.0000382661819458
FTTransformer,Attention,42,4.642,0.6,0.8604770191421844,0.9103196225922916,0.68042203985932,0.6206159110350727,0.7529839128178516,0.010453755906018937,0.31397642590487884,0.09942816637614423,0.010453468108753155,0.68042203985932,0.6206159110350727,0.9103196225922917,0.9999924898147583
TabTransformer,Attention,42,1.668,0.2,0.8645716040536391,0.9152153044392786,0.6898007033997655,0.6291702309666382,0.7633627400103788,0.006889406772408012,0.3008659752777494,0.09498951653147873,0.00801171099276879,0.6898007033997655,0.6291702309666382,0.9152153044392787,0.9706239700317383
DeepFM,Hybrid,42,1.292,0.1,0.8586344559320299,0.9127375331809419,0.6806936416184971,0.6295979469632165,0.7408152994464016,0.01264616392254646,0.3086694075071703,0.09846010516357372,0.008540668613176797,0.6806936416184971,0.6295979469632165,0.9127375331809419,1.0531930923461914
WideAndDeep,Hybrid,42,1.0,0.2,0.8587368205548163,0.9121606835351732,0.6755994358251057,0.6146278870829769,0.75,0.007879724486600672,0.30780548549354275,0.09796729076925423,0.005948459412088445,0.6755994358251057,0.6146278870829769,0.9121606835351732,0.9622453451156616
DCN,Hybrid,42,1.0,0.1,0.8584297266864571,0.9113639610449785,0.6728176011355571,0.6082121471343028,0.7527792482795129,0.008730718663690873,0.3094093497931011,0.09862962921266413,0.008172561605685462,0.6728176011355571,0.6082121471343028,0.9113639610449785,0.9693589806556702
StandardMLP,MLP,123,1.292,0.1,0.8581226328180981,0.9120410197541361,0.671563981042654,0.6060735671514115,0.7529224229543039,0.007395269506900658,0.3083631348186492,0.09792589182963297,0.008035875532929802,0.671563981042654,0.6060735671514115,0.9120409621957998,0.9583658576011658
