teacher_name,teacher_category,student_type,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,baseline_ece,baseline_ts_ece,compression_ratio,training_time,seed
StandardMLP,MLP,MLP,1.0,0.1,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8591462790459617,0.9126488933431368,0.0220701097784269,0.0218101526010041,0.974074125289917,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,24.347028017044067,42
StandardMLP,MLP,MLP,1.0,0.2,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8605793837649708,0.9116782871191697,0.0348042200502225,0.0134505961974648,0.8250016570091248,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,11.651331663131714,42
StandardMLP,MLP,MLP,1.0,0.3,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8570989865902344,0.9089816215081228,0.0402249498335704,0.0269478801811396,0.8226640820503235,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,25.51215386390686,42
StandardMLP,MLP,MLP,1.0,0.4,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8532091309243526,0.909330655259065,0.068446123187551,0.0512693636672305,0.7874916791915894,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,18.254735469818115,42
StandardMLP,MLP,MLP,1.0,0.5,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8332480294810114,0.9050507037139746,0.0848689375180026,0.0693819676918192,0.8011663556098938,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,17.18720769882202,42
StandardMLP,MLP,MLP,1.0,0.6,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8158460436073293,0.9054458704714108,0.1091987234257617,0.0863776047631971,0.7690839767456055,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,12.960893869400024,42
StandardMLP,MLP,MLP,1.0,0.7,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8117514586958747,0.9006056173022201,0.1228003754963198,0.0940113646299644,0.7832523584365845,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,18.920867681503296,42
StandardMLP,MLP,MLP,1.0,0.8,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8090899785034292,0.892254996322598,0.1379318467175195,0.1086543791887642,0.8227910995483398,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,13.927620649337769,42
StandardMLP,MLP,MLP,1.0,0.9,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8071450506704883,0.8903836021365193,0.1114321934925471,0.1376482968485846,0.847346842288971,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,23.52641129493713,42
StandardMLP,MLP,MLP,1.0,1.0,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.7992629747159382,0.7342161515828716,0.0473647610898246,0.0666931635486712,0.8528005480766296,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,9.282750844955444,42
StandardMLP,MLP,MLP,1.292,0.1,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8619101238611936,0.9118664453203288,0.0105315762254431,0.0085967507753709,0.934504210948944,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,20.638165950775143,42
StandardMLP,MLP,MLP,1.292,0.2,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8592486436687481,0.9129848037934168,0.0346195825155107,0.0280165239300646,0.8689484596252441,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,15.401287317276,42
StandardMLP,MLP,MLP,1.292,0.3,0.7984440577336472,0.7671787746958358,0.0357463570499093,269262,0.8570989865902344,0.9129527438001326,0.0583713237073797,0.0463792532926475,0.7917579412460327,36078,0.0079169208009422,0.0067303183667109,7.463329452852154,13.80627727508545,42
