Student Type,Baseline Accuracy,KD Accuracy (avg),Baseline ECE,KD ECE (avg),ECE Improvement
StudentMLP,0.8580202681953117,0.859491285737575,0.013073222994253734,0.03156621443369159,-0.018492991439437858
StudentAttention,0.8643668748080663,0.8619556192490987,0.006073820950688974,0.008974263005693539,-0.0029004420550045647
StudentHybrid,0.8583273620636708,0.856041218821442,0.014867164432348099,0.013539453383631059,0.0013277110487170396
