Student Type,KD Temp,Acc Mean,Acc Std,ECE Mean,ECE Std,ECE-TS Mean,ECE-TS Std
StudentAttention,2.0,0.8620921054128138,0.002033025435529572,0.0086701957594532,0.0024359013205739084,0.008289974223223614,0.002255746480734498
StudentAttention,4.0,0.8620238623309562,0.0018421682425801575,0.009052000999822023,0.0020713621821255345,0.007466742543216389,0.0018684767490350126
StudentAttention,8.0,0.8617508900035259,0.0014111020904051315,0.009200592257805394,0.0030665166790339697,0.008575430961343536,0.002904202127241631
StudentHybrid,2.0,0.8566440327111838,0.0034577851037664547,0.010892084522760257,0.005498572776555636,0.00744733575530805,0.0018062171649030334
StudentHybrid,4.0,0.8557682464940117,0.004441374378117844,0.013308290591218817,0.008308384021926858,0.009215568126702463,0.004725721558585448
StudentHybrid,8.0,0.8557113772591304,0.0033437804413512223,0.0164179850369141,0.011521328261625,0.010789767613760328,0.0052756238866135995
StudentMLP,2.0,0.8596467283129173,0.0022511167816625134,0.030613664514491355,0.01312187801622294,0.017589138559699215,0.0025197772784121397
StudentMLP,4.0,0.8593737559854869,0.0027028805263946613,0.0305555455097754,0.013570870764106487,0.0178901390651491,0.0041678746128325445
StudentMLP,8.0,0.8594533729143208,0.001789186026507176,0.03352943327680803,0.014433887999731686,0.017627740818708656,0.002077358463824761
